land_description,latitude,longitude
SW-23-56-19-W4,53.8506939,-112.721668
SW-24-56-19-W4,53.85067705,-112.7031503
SW-25-56-19-W4,53.86158998,-112.6968683
NE-14-56-19-W4,53.84345438,-112.7094372
NW-14-56-19-W4,53.84347061,-112.7216878
NE-11-56-19-W4,53.82882253,-112.7094585
SW-14-56-19-W4,53.8362683,-112.7279915
NW-13-56-19-W4,53.84344514,-112.7031631
NW-14-56-19-W4,53.84347697,-112.7279724
SW-13-56-19-W4,53.83251155,-112.7031919
SW-14-56-19-W4,53.83257345,-112.7279996
NE-15-56-19-W4,53.84347337,-112.7342215
NE-22-56-19-W4,53.85792215,-112.7342138
NW-23-56-19-W4,53.85792373,-112.7216578
NW-23-56-19-W4,53.85792883,-112.7279357
SW-26-56-19-W4,53.86162465,-112.7216574
SE-27-56-19-W4,53.86163023,-112.7342135
SW-26-56-19-W4,53.8616311,-112.72794
SW-26-56-19-W4,53.86532053,-112.7216649
SE-27-56-19-W4,53.86533171,-112.7342172
SW-23-56-19-W4,53.85069902,-112.7279464
SE-22-56-19-W4,53.85069534,-112.7342113
SW-12-56-18-W4,53.82151392,-112.5481233
SE-11-56-18-W4,53.82153495,-112.5606934
NW-12-56-18-W4,53.82873825,-112.554376
SW-13-56-18-W4,53.83243304,-112.55437
NE-14-56-18-W4,53.84338603,-112.5606678
SW-03-55-18-W4,53.7198111,-112.5978457
NW-03-55-18-W4,53.72695299,-112.5978228
NE-04-55-18-W4,53.72698298,-112.6103553
NW-03-55-18-W4,53.7269613,-112.6041145
SW-03-55-18-W4,53.71982126,-112.6041676
SW-32-54-18-W4,53.70539225,-112.6316036
NW-32-54-18-W4,53.71255745,-112.6315652
SE-04-55-18-W4,53.71984002,-112.6103539
SW-03-55-18-W4,53.71620469,-112.6041945
SW-33-54-18-W4,53.70537258,-112.6004361
SW-13-55-19-W4,53.7489482,-112.6968236
NE-13-55-19-W4,53.75615993,-112.6845893
SW-07-55-18-W4,53.73433058,-112.6783466
NE-07-55-18-W4,53.74149461,-112.6598893
SE-18-55-18-W4,53.74519971,-112.6598804
NW-17-55-18-W4,53.75612066,-112.6472484
SE-01-55-19-W4,53.7199091,-112.6846837
SE-15-55-19-W4,53.74900569,-112.7341381
NW-26-55-19-W4,53.78527863,-112.721701
NW-35-55-19-W4,53.79972193,-112.7216909
SW-14-55-19-W4,53.7489846,-112.7216014
SW-25-55-19-W4,53.77803999,-112.7031843
SW-02-56-19-W4,53.80714079,-112.7279608
SE-11-55-19-W4,53.73429898,-112.7094039
NW-14-55-19-W4,53.75623011,-112.7278491
SW-14-55-19-W4,53.74528116,-112.7216046
SE-34-54-19-W4,53.70543723,-112.7120692
SW-33-54-19-W4,53.70544949,-112.7488058
SE-03-55-19-W4,53.71629401,-112.7344941
SW-03-55-19-W4,53.71631526,-112.7465697
NW-16-55-19-W4,53.75629549,-112.7711436
SW-21-55-19-W4,53.76353453,-112.7711408
NW-21-55-19-W4,53.7706714,-112.7712054
SW-28-55-19-W4,53.77425633,-112.7775565
SE-29-55-19-W4,53.77425693,-112.7838382
SE-29-55-19-W4,53.77795991,-112.7838411
SW-28-55-19-W4,53.77796301,-112.7712598
